STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,YTD_PRECIP_NORM,YTD2013_PRECIP,PRECIP2013_DIFF,YTD2014_PRECIP,PRECIP2014_DIFF,YTD2015_PRECIP,PRECIP2015_DIFF
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0101,19,0,-19,0,-19,0,-19
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0102,39,0,-39,0,-39,0,-39
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0103,58,0,-58,0,-58,0,-58
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0104,77,0,-77,0,-77,0,-77
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0105,97,15,-82,0,-97,0,-97
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0106,116,15,-101,0,-116,0,-116
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0107,136,15,-121,0,-136,0,-136
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0108,156,15,-141,3,-153,0,-156
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0109,177,33,-144,3,-174,0,-177
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0110,199,33,-166,3,-196,0,-199
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0111,220,33,-187,21,-199,0,-220
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0112,241,33,-208,21,-220,0,-241
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0113,261,33,-228,21,-240,0,-261
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0114,280,33,-247,21,-259,0,-280
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0115,300,33,-267,21,-279,0,-300
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0116,319,33,-286,21,-298,38,-281
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0117,338,33,-305,21,-317,38,-300
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0118,357,33,-324,21,-336,66,-291
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0119,376,33,-343,21,-355,66,-310
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0120,396,33,-363,21,-375,66,-330
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0121,415,33,-382,21,-394,66,-349
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0122,434,33,-401,21,-413,66,-368
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0123,452,229,-223,21,-431,66,-386
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0124,470,237,-233,21,-449,66,-404
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0125,488,237,-251,21,-467,66,-422
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0126,506,237,-269,21,-485,66,-440
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0127,525,237,-288,21,-504,66,-459
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0128,542,237,-305,21,-521,66,-476
REDDING MUNICIPAL AIRPORT CA US,151.5,40.5175,-122.29861,0129,560,237,-323,107,-453,66,-494
