DATE,2013-PRECIPITATION,2013-TMAX,2013-TMIN
GHCND:USC00044303|0101,0,167,17
GHCND:USC00044303|0102,0,217,33
GHCND:USC00044303|0103,0,233,44
GHCND:USC00044303|0104,0,211,44
GHCND:USC00044303|0105,0,200,39
GHCND:USC00044303|0106,33,194,33
GHCND:USC00044303|0107,0,206,28
GHCND:USC00044303|0108,0,222,39
GHCND:USC00044303|0109,0,228,67
GHCND:USC00044303|0110,41,161,72
GHCND:USC00044303|0111,0,156,-11
GHCND:USC00044303|0112,0,161,-11
GHCND:USC00044303|0113,0,156,-6
GHCND:USC00044303|0114,0,144,22
GHCND:USC00044303|0115,0,183,0
GHCND:USC00044303|0116,0,217,28
GHCND:USC00044303|0117,0,267,72
GHCND:USC00044303|0118,0,289,100
GHCND:USC00044303|0119,0,283,111
GHCND:USC00044303|0120,0,267,100
GHCND:USC00044303|0121,0,283,133
GHCND:USC00044303|0122,0,278,89
GHCND:USC00044303|0123,0,250,117
GHCND:USC00044303|0124,102,211,122
GHCND:USC00044303|0125,64,194,117
GHCND:USC00044303|0126,122,189,100
GHCND:USC00044303|0127,0,172,39
GHCND:USC00044303|0128,0,178,22
GHCND:USC00044303|0129,0,178,22
GHCND:USC00044303|0130,0,222,39
GHCND:USC00044303|0131,0,272,61
GHCND:USC00044303|0201,0,256,89
GHCND:USC00044303|0202,0,256,89
GHCND:USC00044303|0203,0,250,94
GHCND:USC00044303|0204,0,217,67
GHCND:USC00044303|0205,0,183,72
GHCND:USC00044303|0206,0,194,83
GHCND:USC00044303|0207,0,183,44
GHCND:USC00044303|0208,71,128,44
GHCND:USC00044303|0209,0,144,56
GHCND:USC00044303|0210,0,156,67
GHCND:USC00044303|0211,0,183,61
GHCND:USC00044303|0212,0,200,33
GHCND:USC00044303|0213,0,256,28
GHCND:USC00044303|0214,0,244,39
GHCND:USC00044303|0215,0,283,72
GHCND:USC00044303|0216,0,272,167
GHCND:USC00044303|0217,0,233,128
GHCND:USC00044303|0218,0,206,89
GHCND:USC00044303|0219,0,178,72
GHCND:USC00044303|0220,48,172,17
GHCND:USC00044303|0221,0,183,39
GHCND:USC00044303|0222,0,206,28
GHCND:USC00044303|0223,0,211,33
GHCND:USC00044303|0224,0,217,44
GHCND:USC00044303|0225,0,228,44
GHCND:USC00044303|0226,0,233,33
GHCND:USC00044303|0227,0,256,78
GHCND:USC00044303|0228,0,283,72
GHCND:USC00044303|0301,0,322,106
GHCND:USC00044303|0302,0,306,89
GHCND:USC00044303|0303,0,256,78
GHCND:USC00044303|0304,0,222,94
GHCND:USC00044303|0305,0,194,72
GHCND:USC00044303|0306,0,200,61
GHCND:USC00044303|0307,10,161,78
GHCND:USC00044303|0308,137,122,56
GHCND:USC00044303|0309,41,189,44
GHCND:USC00044303|0310,0,222,61
GHCND:USC00044303|0311,0,261,67
GHCND:USC00044303|0312,0,267,61
GHCND:USC00044303|0313,0,278,67
GHCND:USC00044303|0314,0,283,56
GHCND:USC00044303|0315,0,267,72
GHCND:USC00044303|0316,0,228,83
GHCND:USC00044303|0317,0,222,72
GHCND:USC00044303|0318,0,228,94
GHCND:USC00044303|0319,0,228,72
GHCND:USC00044303|0320,0,222,72
GHCND:USC00044303|0321,0,239,72
GHCND:USC00044303|0322,0,233,83
GHCND:USC00044303|0323,0,244,94
GHCND:USC00044303|0324,0,233,94
GHCND:USC00044303|0325,0,244,72
GHCND:USC00044303|0326,0,222,89
GHCND:USC00044303|0327,0,228,94
GHCND:USC00044303|0328,0,256,133
GHCND:USC00044303|0329,0,244,89
GHCND:USC00044303|0330,0,239,94
GHCND:USC00044303|0331,0,228,89
GHCND:USC00044303|0401,0,211,100
GHCND:USC00044303|0402,0,239,83
GHCND:USC00044303|0403,0,261,72
GHCND:USC00044303|0404,0,250,139
GHCND:USC00044303|0405,0,239,100
GHCND:USC00044303|0406,0,233,89
GHCND:USC00044303|0407,0,228,89
GHCND:USC00044303|0408,0,211,100
GHCND:USC00044303|0409,0,244,89
GHCND:USC00044303|0410,0,300,72
GHCND:USC00044303|0411,0,261,83
GHCND:USC00044303|0412,0,244,106
GHCND:USC00044303|0413,0,222,100
GHCND:USC00044303|0414,0,217,94
GHCND:USC00044303|0415,8,183,83
GHCND:USC00044303|0416,0,189,111
GHCND:USC00044303|0417,0,244,67
GHCND:USC00044303|0418,0,283,78
GHCND:USC00044303|0419,0,317,89
GHCND:USC00044303|0420,0,294,56
GHCND:USC00044303|0421,0,272,78
GHCND:USC00044303|0422,0,256,94
GHCND:USC00044303|0423,0,250,100
GHCND:USC00044303|0424,0,222,106
GHCND:USC00044303|0425,0,233,106
GHCND:USC00044303|0426,0,267,78
GHCND:USC00044303|0427,0,261,94
GHCND:USC00044303|0428,0,267,100
GHCND:USC00044303|0429,0,261,106
GHCND:USC00044303|0430,0,228,94
GHCND:USC00044303|0501,0,261,122
GHCND:USC00044303|0502,0,356,156
GHCND:USC00044303|0503,0,356,139
GHCND:USC00044303|0504,0,300,100
GHCND:USC00044303|0505,0,244,89
GHCND:USC00044303|0506,81,222,111
GHCND:USC00044303|0507,25,228,106
GHCND:USC00044303|0508,10,217,106
GHCND:USC00044303|0509,0,244,94
GHCND:USC00044303|0510,0,272,106
GHCND:USC00044303|0511,0,311,106
GHCND:USC00044303|0512,0,339,122
GHCND:USC00044303|0513,0,372,178
GHCND:USC00044303|0514,0,311,122
GHCND:USC00044303|0515,0,261,172
GHCND:USC00044303|0516,0,256,122
GHCND:USC00044303|0517,0,244,128
GHCND:USC00044303|0518,0,256,122
GHCND:USC00044303|0519,0,261,106
GHCND:USC00044303|0520,0,300,106
GHCND:USC00044303|0521,0,294,133
GHCND:USC00044303|0522,0,267,133
GHCND:USC00044303|0523,0,244,122
GHCND:USC00044303|0524,0,244,117
GHCND:USC00044303|0525,0,256,128
GHCND:USC00044303|0526,0,261,133
GHCND:USC00044303|0527,0,256,133
GHCND:USC00044303|0528,0,261,133
GHCND:USC00044303|0529,0,283,111
GHCND:USC00044303|0530,0,283,106
GHCND:USC00044303|0531,0,283,139
GHCND:USC00044303|0601,0,294,139
GHCND:USC00044303|0602,0,289,133
GHCND:USC00044303|0603,0,261,133
GHCND:USC00044303|0604,0,261,167
GHCND:USC00044303|0605,0,267,144
GHCND:USC00044303|0606,0,256,128
GHCND:USC00044303|0607,0,267,128
GHCND:USC00044303|0608,0,256,133
GHCND:USC00044303|0609,0,267,128
GHCND:USC00044303|0610,0,267,128
GHCND:USC00044303|0611,0,294,117
GHCND:USC00044303|0612,0,261,144
GHCND:USC00044303|0613,0,272,150
GHCND:USC00044303|0614,0,272,161
GHCND:USC00044303|0615,0,267,122
GHCND:USC00044303|0616,0,261,111
GHCND:USC00044303|0617,0,289,117
GHCND:USC00044303|0618,0,283,100
GHCND:USC00044303|0619,0,283,144
GHCND:USC00044303|0620,0,289,106
GHCND:USC00044303|0621,0,289,111
GHCND:USC00044303|0622,0,278,128
GHCND:USC00044303|0623,0,278,133
GHCND:USC00044303|0624,0,267,139
GHCND:USC00044303|0625,0,272,133
GHCND:USC00044303|0626,0,317,139
GHCND:USC00044303|0627,0,344,144
GHCND:USC00044303|0628,0,350,139
GHCND:USC00044303|0629,0,361,156
GHCND:USC00044303|0630,0,350,144
GHCND:USC00044303|0701,0,361,161
GHCND:USC00044303|0702,0,333,156
GHCND:USC00044303|0703,0,300,156
GHCND:USC00044303|0704,0,306,144
GHCND:USC00044303|0705,0,289,156
GHCND:USC00044303|0706,0,294,161
GHCND:USC00044303|0707,0,311,128
GHCND:USC00044303|0708,0,344,144
GHCND:USC00044303|0709,0,339,144
GHCND:USC00044303|0710,0,294,161
GHCND:USC00044303|0711,0,267,156
GHCND:USC00044303|0712,0,317,167
GHCND:USC00044303|0713,0,300,150
GHCND:USC00044303|0714,0,322,144
GHCND:USC00044303|0715,0,317,144
GHCND:USC00044303|0716,0,311,128
GHCND:USC00044303|0717,0,333,117
GHCND:USC00044303|0718,0,322,122
GHCND:USC00044303|0719,0,289,128
GHCND:USC00044303|0720,0,267,150
GHCND:USC00044303|0721,0,244,139
GHCND:USC00044303|0722,0,311,150
GHCND:USC00044303|0723,0,300,117
GHCND:USC00044303|0724,0,306,139
GHCND:USC00044303|0725,0,300,139
GHCND:USC00044303|0726,0,306,156
GHCND:USC00044303|0727,0,294,144
GHCND:USC00044303|0728,0,289,133
GHCND:USC00044303|0729,0,283,139
GHCND:USC00044303|0730,0,283,122
GHCND:USC00044303|0731,0,267,111
GHCND:USC00044303|0801,0,283,133
GHCND:USC00044303|0802,0,289,133
GHCND:USC00044303|0803,0,283,133
GHCND:USC00044303|0804,0,294,117
GHCND:USC00044303|0805,0,294,128
GHCND:USC00044303|0806,0,283,133
GHCND:USC00044303|0807,0,283,122
GHCND:USC00044303|0808,0,289,106
GHCND:USC00044303|0809,0,283,111
GHCND:USC00044303|0810,0,278,128
GHCND:USC00044303|0811,0,294,133
GHCND:USC00044303|0812,0,294,111
GHCND:USC00044303|0813,0,306,133
GHCND:USC00044303|0814,0,300,139
GHCND:USC00044303|0815,0,322,122
GHCND:USC00044303|0816,0,322,139
GHCND:USC00044303|0817,0,356,133
GHCND:USC00044303|0818,0,344,128
GHCND:USC00044303|0819,0,306,150
GHCND:USC00044303|0820,0,317,139
GHCND:USC00044303|0821,0,333,128
GHCND:USC00044303|0822,0,350,133
GHCND:USC00044303|0823,0,339,128
GHCND:USC00044303|0824,0,378,250
GHCND:USC00044303|0825,0,344,133
GHCND:USC00044303|0826,0,378,156
GHCND:USC00044303|0827,0,344,222
GHCND:USC00044303|0828,0,356,161
GHCND:USC00044303|0829,0,372,167
GHCND:USC00044303|0830,0,367,211
GHCND:USC00044303|0831,0,350,167
GHCND:USC00044303|0901,0,344,156
GHCND:USC00044303|0902,0,344,161
GHCND:USC00044303|0903,0,361,178
GHCND:USC00044303|0904,0,372,178
GHCND:USC00044303|0905,0,372,172
GHCND:USC00044303|0906,0,389,178
GHCND:USC00044303|0907,0,378,156
GHCND:USC00044303|0908,0,328,139
GHCND:USC00044303|0909,0,306,139
GHCND:USC00044303|0910,0,289,144
GHCND:USC00044303|0911,0,278,139
GHCND:USC00044303|0912,0,317,150
GHCND:USC00044303|0913,0,328,156
GHCND:USC00044303|0914,0,322,161
GHCND:USC00044303|0915,0,356,167
GHCND:USC00044303|0916,0,344,167
GHCND:USC00044303|0917,0,311,144
GHCND:USC00044303|0918,0,278,139
GHCND:USC00044303|0919,0,289,139
GHCND:USC00044303|0920,0,261,133
GHCND:USC00044303|0921,0,256,167
GHCND:USC00044303|0922,0,261,133
GHCND:USC00044303|0923,0,356,139
GHCND:USC00044303|0924,0,328,156
GHCND:USC00044303|0925,0,300,150
GHCND:USC00044303|0926,0,261,156
